show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s335,TV Show,Hidden Code 335,Anurag Kashyap,"Shah Rukh Khan, Viola Davis, Riz Ahmed",United States,"April 18, 2012",2008,G,1 Seasons,Thrillers,A tv show about identity set in United States.
s336,TV Show,Wild Whisper 336,Anurag Kashyap,"Idris Elba, Riz Ahmed",Italy,"July 14, 2019",2004,PG,2 Seasons,"Documentaries, British TV Shows, TV Dramas",A tv show about power set in Italy.
s337,Movie,Golden Empire 337,,"Oscar Isaac, Deepika Padukone, Daniel Kaluuya, Mahershala Ali, Saoirse Ronan",Egypt,"February 18, 2017",2008,TV-Y,93 min,British TV Shows,A movie about power set in Egypt.
s338,Movie,Lost Hour 338,Christopher Nolan,"Song Kang-ho, Shah Rukh Khan",Philippines,"October 14, 2011",1994,R,131 min,Music & Musicals,A movie about survival set in Philippines.
s339,Movie,Dark Shadow 339,Greta Gerwig,"Florence Pugh, Idris Elba, Deepika Padukone, Tilda Swinton",Italy,"June 21, 2019",2007,TV-Y7,72 min,Children & Family Movies,A movie about survival set in Italy.
s340,Movie,Iron Promise 340,,"Daniel Kaluuya, Tilda Swinton",,"July 23, 2021",2010,NR,69 min,Korean TV Shows,A movie about survival set in an unnamed place.
s341,TV Show,Crimson Storm 341,Spike Lee,"Tom Hardy, Florence Pugh, Daniel Kaluuya, Penelope Cruz",Canada,"January 20, 2015",2014,TV-MA,1 Season,"Sci-Fi & Fantasy, Romantic Movies, British TV Shows",A tv show about survival set in Canada.
s342,Movie,Golden Shadow 342,Christopher Nolan,"Daniel Kaluuya, Deepika Padukone, Lupita Nyong'o, Shah Rukh Khan, Riz Ahmed",,"April 03, 2021",2014,PG,117 min,"International Movies, Dramas",A movie about identity set in an unnamed place.
s343,Movie,Dark Whisper 343,Ava DuVernay,"Florence Pugh, Viola Davis, Penelope Cruz, Idris Elba",Turkey,"June 23, 2013",2005,PG-13,196 min,Comedies,A movie about family set in Turkey.
s344,Movie,Silent Empire 344,Martin Scorsese,"Riz Ahmed, Saoirse Ronan, Tom Hardy, Mahershala Ali, Deepika Padukone",Australia,"October 02, 2016",2010,TV-Y7,70 min,"Thrillers, Crime TV Shows, British TV Shows",A movie about identity set in Australia.
s345,TV Show,Iron Whisper 345,,"Penelope Cruz, Deepika Padukone, Tilda Swinton, Florence Pugh, Viola Davis",China,"December 12, 2013",1993,NR,7 Seasons,"Comedies, Independent Movies, Action & Adventure",A tv show about identity set in China.
s346,Movie,Midnight Code 346,Spike Lee,"Shah Rukh Khan, Tilda Swinton, Riz Ahmed, Saoirse Ronan",Mexico,"February 10, 2020",2010,TV-Y,109 min,"Korean TV Shows, Anime Series, Reality TV",A movie about crime set in Mexico.
s347,TV Show,Iron Memory 347,Anurag Kashyap,"Zendaya, Saoirse Ronan, Tilda Swinton",Indonesia,"September 23, 2017",1993,PG,8 Season,Sci-Fi & Fantasy,A tv show about survival set in Indonesia.
s348,Movie,Dark Project 348,Park Chan-wook,"Lupita Nyong'o, Riz Ahmed, Saoirse Ronan, Tilda Swinton, Shah Rukh Khan",Indonesia,"May 07, 2013",1997,TV-MA,107 min,"Anime Series, British TV Shows",A movie about identity set in Indonesia.
s349,TV Show,Broken Hour 349,Bong Joon-ho,"Tom Hardy, Saoirse Ronan, Florence Pugh",China,"December 11, 2008",2021,TV-MA,2 Season,"Comedies, Stand-Up Comedy",A tv show about family set in China.
s350,Movie,Bright Kingdom 350,Ava DuVernay,"Song Kang-ho, Oscar Isaac, Mahershala Ali",Canada,"January 06, 2021",2006,TV-14,105 min,"Action & Adventure, Crime TV Shows, Independent Movies",A movie about identity set in Canada.
s351,TV Show,Sacred Memory 351,Hayao Miyazaki,"Idris Elba, Song Kang-ho",Egypt,"March 22, 2021",1993,PG,2 Season,"British TV Shows, Horror Movies",A tv show about family set in Egypt.
s352,TV Show,Bright Promise 352,Ava DuVernay,"Tom Hardy, Tilda Swinton, Oscar Isaac, Daniel Kaluuya",India,"May 17, 2013",2006,PG-13,6 Seasons,"Action & Adventure, Reality TV, Horror Movies",A tv show about survival set in India.
s353,Movie,Bright Shadow 353,Greta Gerwig,"Oscar Isaac, Song Kang-ho, Riz Ahmed",Egypt,"February 10, 2017",1992,TV-14,170 min,"Stand-Up Comedy, Crime TV Shows",A movie about power set in Egypt.
s354,Movie,Bright Project 354,,"Shah Rukh Khan, Idris Elba, Penelope Cruz, Oscar Isaac",China,"March 02, 2018",1991,TV-PG,158 min,"Documentaries, Dramas, TV Comedies",A movie about crime set in China.
s355,Movie,Eternal Code 355,,"Riz Ahmed, Florence Pugh, Idris Elba",France,"April 20, 2021",2010,R,66 min,"TV Dramas, Romantic Movies",A movie about survival set in France.
s356,TV Show,Dark City 356,Martin Scorsese,"Shah Rukh Khan, Deepika Padukone, Song Kang-ho",Japan,"November 10, 2021",2017,TV-PG,2 Seasons,Independent Movies,A tv show about love set in Japan.
s357,Movie,Frozen Shadow 357,Spike Lee,"Song Kang-ho, Daniel Kaluuya, Mahershala Ali, Zendaya, Florence Pugh",Germany,"January 31, 2019",2014,R,198 min,Sci-Fi & Fantasy,A movie about power set in Germany.
s358,Movie,Broken Promise 358,Anurag Kashyap,,Spain,"July 27, 2013",2013,TV-Y7,66 min,British TV Shows,A movie about crime set in Spain.
s359,TV Show,Golden Shadow 359,Ava DuVernay,"Lupita Nyong'o, Viola Davis, Zendaya, Daniel Kaluuya, Tom Hardy",,"July 24, 2018",2012,NR,1 Season,"Music & Musicals, TV Comedies, Sci-Fi & Fantasy",A tv show about survival set in an unnamed place.
s360,Movie,Silent City 360,Mira Nair,"Daniel Kaluuya, Zendaya, Idris Elba",France,"November 24, 2019",2017,TV-14,125 min,Documentaries,A movie about survival set in France.
s361,TV Show,Dark Storm 361,Hayao Miyazaki,"Lupita Nyong'o, Daniel Kaluuya, Idris Elba, Penelope Cruz",Australia,"January 07, 2019",1999,TV-Y7,1 Season,Horror Movies,A tv show about crime set in Australia.
s362,Movie,Hidden Promise 362,Hayao Miyazaki,"Viola Davis, Deepika Padukone, Idris Elba, Mahershala Ali, Lupita Nyong'o",Argentina,"April 27, 2011",1997,R,117 min,Romantic Movies,A movie about power set in Argentina.
s363,Movie,Hidden Code 363,Mira Nair,"Idris Elba, Penelope Cruz",Spain,"February 11, 2010",2011,TV-14,145 min,"Independent Movies, Action & Adventure",A movie about family set in Spain.
s364,Movie,Midnight Heart 364,Park Chan-wook,"Tom Hardy, Idris Elba, Daniel Kaluuya, Tilda Swinton",Egypt,"October 06, 2020",1998,TV-MA,117 min,"International Movies, Comedies",A movie about identity set in Egypt.
s365,TV Show,Broken Kingdom 365,Anurag Kashyap,"Shah Rukh Khan, Tom Hardy, Riz Ahmed, Song Kang-ho, Daniel Kaluuya",Italy,"June 16, 2011",1997,TV-Y,5 Seasons,"Documentaries, TV Dramas, Action & Adventure",A tv show about family set in Italy.
s366,Movie,Wild Heart 366,Spike Lee,"Shah Rukh Khan, Florence Pugh, Penelope Cruz, Zendaya, Idris Elba",Turkey,"January 31, 2010",1992,TV-Y7,102 min,"Documentaries, British TV Shows, Korean TV Shows",A movie about power set in Turkey.
s367,Movie,Midnight Storm 367,Christopher Nolan,"Oscar Isaac, Shah Rukh Khan, Zendaya, Tilda Swinton, Saoirse Ronan",Nigeria,"October 01, 2020",1993,TV-MA,176 min,Korean TV Shows,A movie about survival set in Nigeria.
s368,Movie,Wild Hour 368,Greta Gerwig,"Tom Hardy, Viola Davis",Egypt,"February 01, 2012",2015,TV-Y,121 min,"Independent Movies, Anime Series",A movie about power set in Egypt.
s369,Movie,Sacred Storm 369,Anurag Kashyap,"Lupita Nyong'o, Riz Ahmed",Turkey,"February 17, 2008",2015,TV-PG,167 min,"TV Comedies, British TV Shows",A movie about family set in Turkey.
s370,Movie,Velvet Whisper 370,Ava DuVernay,"Shah Rukh Khan, Daniel Kaluuya, Zendaya, Tom Hardy",United States,"March 21, 2012",1991,TV-PG,106 min,"Reality TV, Thrillers",A movie about love set in United States.
s371,Movie,Wild Promise 371,Martin Scorsese,"Zendaya, Deepika Padukone, Daniel Kaluuya",,"June 10, 2013",2002,TV-Y,58 min,"Dramas, Action & Adventure",A movie about power set in an unnamed place.
s372,TV Show,Broken Shadow 372,Ava DuVernay,"Viola Davis, Deepika Padukone, Penelope Cruz, Zendaya",Indonesia,"December 10, 2018",2004,G,1 Seasons,"Reality TV, Comedies",A tv show about family set in Indonesia.
s373,TV Show,Broken City 373,Spike Lee,"Zendaya, Mahershala Ali, Penelope Cruz, Tom Hardy",South Korea,"October 29, 2017",2004,NR,6 Seasons,"Anime Series, Documentaries, Sci-Fi & Fantasy",A tv show about power set in South Korea.
s374,TV Show,Broken Project 374,Park Chan-wook,"Idris Elba, Oscar Isaac, Song Kang-ho, Saoirse Ronan, Mahershala Ali",Argentina,"June 22, 2012",2000,TV-14,7 Seasons,"Sci-Fi & Fantasy, Horror Movies",A tv show about crime set in Argentina.
s375,Movie,Lost Whisper 375,Denis Villeneuve,"Viola Davis, Florence Pugh, Daniel Kaluuya",Canada,"September 15, 2010",2004,PG,135 min,Reality TV,A movie about family set in Canada.
s376,TV Show,Dark Memory 376,Mira Nair,"Zendaya, Florence Pugh",Canada,"September 10, 2021",1996,TV-MA,9 Season,"Action & Adventure, Thrillers, TV Dramas",A tv show about crime set in Canada.
s377,TV Show,Golden Heart 377,Spike Lee,"Saoirse Ronan, Tilda Swinton",France,"July 11, 2012",2018,TV-MA,4 Seasons,"Crime TV Shows, Sci-Fi & Fantasy",A tv show about identity set in France.
s378,Movie,Hidden Whisper 378,Hayao Miyazaki,"Saoirse Ronan, Florence Pugh, Zendaya",Spain,"August 13, 2017",2016,TV-Y7,177 min,"TV Dramas, Dramas, Anime Series",A movie about crime set in Spain.
s379,TV Show,Golden Truth 379,Christopher Nolan,,Japan,"October 26, 2016",1992,TV-PG,1 Seasons,"Korean TV Shows, Sci-Fi & Fantasy, Stand-Up Comedy",A tv show about survival set in Japan.
s380,TV Show,Golden Legacy 380,Ava DuVernay,"Tom Hardy, Riz Ahmed, Saoirse Ronan, Lupita Nyong'o",France,"January 03, 2018",2003,NR,8 Seasons,"TV Comedies, Thrillers, Sci-Fi & Fantasy",A tv show about love set in France.
s381,Movie,Eternal Shadow 381,Ava DuVernay,"Penelope Cruz, Viola Davis, Lupita Nyong'o, Riz Ahmed",Australia,"August 03, 2011",1991,G,196 min,"Horror Movies, Sci-Fi & Fantasy",A movie about power set in Australia.
s382,Movie,Frozen Kingdom 382,Denis Villeneuve,"Song Kang-ho, Tom Hardy, Florence Pugh, Tilda Swinton",Egypt,"February 12, 2008",2019,R,193 min,"Reality TV, Horror Movies, TV Dramas",A movie about family set in Egypt.
s383,Movie,Sacred Project 383,Park Chan-wook,"Deepika Padukone, Viola Davis, Idris Elba, Lupita Nyong'o, Oscar Isaac",Brazil,"April 15, 2011",2017,TV-14,68 min,Stand-Up Comedy,A movie about crime set in Brazil.
s384,Movie,Wild Kingdom 384,Pedro Almodovar,"Lupita Nyong'o, Oscar Isaac, Deepika Padukone, Tilda Swinton, Penelope Cruz",Argentina,"May 08, 2017",2000,TV-PG,169 min,"Anime Series, Documentaries, Korean TV Shows",A movie about identity set in Argentina.
s385,Movie,Crimson Heart 385,Ava DuVernay,"Song Kang-ho, Oscar Isaac, Riz Ahmed, Penelope Cruz",Brazil,"November 25, 2008",1999,PG-13,140 min,"Sci-Fi & Fantasy, British TV Shows",A movie about love set in Brazil.
s386,TV Show,Silent Truth 386,Martin Scorsese,"Oscar Isaac, Song Kang-ho, Shah Rukh Khan, Mahershala Ali",Canada,"July 07, 2009",1992,NR,5 Seasons,"TV Comedies, British TV Shows",A tv show about power set in Canada.
s387,TV Show,Silent Truth 387,,"Zendaya, Shah Rukh Khan, Riz Ahmed, Mahershala Ali, Idris Elba",Indonesia,"March 09, 2017",2014,TV-Y,6 Seasons,"Anime Series, Children & Family Movies, Comedies",A tv show about crime set in Indonesia.
s388,TV Show,Velvet Hour 388,Ava DuVernay,"Shah Rukh Khan, Song Kang-ho",China,"March 09, 2009",2002,G,1 Season,"Romantic Movies, Dramas, Children & Family Movies",A tv show about crime set in China.
s389,Movie,Golden Project 389,Spike Lee,,Australia,"January 03, 2009",2021,TV-MA,132 min,"Romantic Movies, Stand-Up Comedy",A movie about love set in Australia.
s390,TV Show,Eternal Shadow 390,Christopher Nolan,"Oscar Isaac, Shah Rukh Khan, Zendaya",United Kingdom,"February 18, 2017",2000,PG,3 Season,Sci-Fi & Fantasy,A tv show about survival set in United Kingdom.
s391,Movie,Silent Shadow 391,Greta Gerwig,"Viola Davis, Song Kang-ho",Indonesia,"January 21, 2019",2014,PG-13,60 min,"Anime Series, Reality TV",A movie about survival set in Indonesia.
s392,Movie,Lost Shadow 392,Martin Scorsese,"Deepika Padukone, Florence Pugh",France,"February 14, 2017",2018,G,97 min,TV Dramas,A movie about identity set in France.
s393,TV Show,Sacred Garden 393,Hayao Miyazaki,"Viola Davis, Tom Hardy, Riz Ahmed, Deepika Padukone, Oscar Isaac",Japan,,2020,PG-13,7 Seasons,"Thrillers, Independent Movies, Korean TV Shows",A tv show about family set in Japan.
s394,Movie,Golden Legacy 394,Greta Gerwig,,France,"April 08, 2014",2017,G,126 min,"Crime TV Shows, Children & Family Movies, Anime Series",A movie about family set in France.
s395,Movie,Eternal Whisper 395,,"Tom Hardy, Zendaya, Mahershala Ali, Shah Rukh Khan",United States,"February 05, 2008",1990,TV-Y,187 min,"British TV Shows, TV Comedies, Reality TV",A movie about love set in United States.
s396,TV Show,Iron Hour 396,,,Egypt,"December 01, 2015",2014,PG,7 Season,"Dramas, Action & Adventure, Anime Series",A tv show about family set in Egypt.
s397,TV Show,Wild Empire 397,,,Brazil,"October 04, 2021",2009,R,4 Seasons,"International Movies, Children & Family Movies",A tv show about survival set in Brazil.
s398,TV Show,Golden Code 398,,"Song Kang-ho, Riz Ahmed, Saoirse Ronan, Oscar Isaac, Lupita Nyong'o",China,"September 08, 2020",2001,TV-PG,2 Season,"Horror Movies, Korean TV Shows, Children & Family Movies",A tv show about crime set in China.
s399,TV Show,Lost Memory 399,Mira Nair,"Tom Hardy, Penelope Cruz, Tilda Swinton, Riz Ahmed, Florence Pugh",,"September 13, 2017",2016,G,8 Seasons,"International Movies, Horror Movies, Music & Musicals",A tv show about family set in an unnamed place.
s400,TV Show,Frozen Heart 400,Hayao Miyazaki,"Tom Hardy, Mahershala Ali",Turkey,"August 09, 2013",2002,PG-13,2 Seasons,Dramas,A tv show about survival set in Turkey.
s401,Movie,Lost Code 401,Denis Villeneuve,"Song Kang-ho, Deepika Padukone, Daniel Kaluuya",India,"August 28, 2019",2005,NR,157 min,Anime Series,A movie about identity set in India.
s402,Movie,Lost City 402,,"Saoirse Ronan, Tom Hardy",Egypt,"September 12, 2021",2017,TV-MA,188 min,Sci-Fi & Fantasy,A movie about survival set in Egypt.
s403,Movie,Velvet Truth 403,Mira Nair,"Zendaya, Penelope Cruz",Turkey,"November 20, 2021",1996,TV-MA,161 min,"Crime TV Shows, Independent Movies, Thrillers",A movie about love set in Turkey.
s404,Movie,Velvet Memory 404,,"Saoirse Ronan, Tilda Swinton, Lupita Nyong'o",Turkey,"December 04, 2021",2018,TV-PG,56 min,Documentaries,A movie about family set in Turkey.
s405,Movie,Frozen Hour 405,Greta Gerwig,"Saoirse Ronan, Deepika Padukone, Daniel Kaluuya",Mexico,"March 07, 2008",1999,G,188 min,Stand-Up Comedy,A movie about family set in Mexico.
s406,Movie,Crimson Hour 406,Christopher Nolan,"Zendaya, Oscar Isaac, Mahershala Ali, Idris Elba, Daniel Kaluuya",Australia,"May 22, 2017",2011,TV-Y7,55 min,"Horror Movies, Dramas",A movie about power set in Australia.
s407,Movie,Crimson Heart 407,Bong Joon-ho,"Florence Pugh, Song Kang-ho, Penelope Cruz, Shah Rukh Khan",United States,"August 27, 2009",2012,TV-14,81 min,"Anime Series, Thrillers",A movie about power set in United States.
s408,Movie,Sacred Whisper 408,,,Japan,"November 16, 2013",2001,G,107 min,Thrillers,A movie about love set in Japan.
s409,Movie,Hidden City 409,,"Florence Pugh, Tilda Swinton, Daniel Kaluuya",Australia,"November 04, 2014",2019,PG,88 min,"Music & Musicals, Stand-Up Comedy, Comedies",A movie about love set in Australia.
s410,Movie,Bright Promise 410,Bong Joon-ho,"Tilda Swinton, Oscar Isaac, Penelope Cruz, Daniel Kaluuya",India,"March 04, 2021",2002,PG-13,83 min,"Horror Movies, International Movies",A movie about power set in India.
s411,TV Show,Dark Promise 411,Mira Nair,"Shah Rukh Khan, Florence Pugh, Deepika Padukone",Indonesia,"May 29, 2019",2014,G,6 Seasons,"Romantic Movies, Crime TV Shows",A tv show about power set in Indonesia.
s412,Movie,Golden Heart 412,Spike Lee,"Viola Davis, Song Kang-ho, Zendaya, Riz Ahmed, Deepika Padukone",Italy,"July 13, 2017",2014,PG,110 min,"Comedies, Documentaries, Music & Musicals",A movie about family set in Italy.
s413,Movie,Eternal Garden 413,Spike Lee,"Riz Ahmed, Deepika Padukone, Zendaya, Penelope Cruz",Argentina,"July 29, 2016",1991,R,112 min,"Comedies, TV Dramas, Music & Musicals",A movie about family set in Argentina.
s414,TV Show,Frozen Legacy 414,Greta Gerwig,"Song Kang-ho, Viola Davis",China,"May 29, 2012",2011,PG-13,4 Seasons,Reality TV,A tv show about family set in China.
s415,Movie,Hidden Storm 415,Hayao Miyazaki,"Daniel Kaluuya, Tilda Swinton",France,"February 07, 2013",2004,R,166 min,Korean TV Shows,A movie about identity set in France.
s416,TV Show,Sacred Heart 416,Spike Lee,"Tilda Swinton, Riz Ahmed",Turkey,"February 03, 2018",1991,NR,3 Season,"Dramas, British TV Shows, TV Dramas",A tv show about family set in Turkey.
s417,Movie,Broken Hour 417,Ava DuVernay,"Tom Hardy, Oscar Isaac, Florence Pugh, Daniel Kaluuya",France,"May 29, 2015",2015,R,145 min,Reality TV,A movie about survival set in France.
s418,Movie,Midnight Whisper 418,Spike Lee,"Shah Rukh Khan, Daniel Kaluuya, Viola Davis, Tilda Swinton",India,"July 13, 2021",2021,R,62 min,"Sci-Fi & Fantasy, Thrillers",A movie about crime set in India.
s419,Movie,Frozen Kingdom 419,Denis Villeneuve,"Tilda Swinton, Riz Ahmed, Penelope Cruz",Canada,"May 20, 2017",2020,TV-Y,97 min,Thrillers,A movie about family set in Canada.
s420,Movie,Golden Hour 420,Mira Nair,"Penelope Cruz, Lupita Nyong'o, Mahershala Ali, Tilda Swinton",South Korea,,1999,TV-Y,199 min,Korean TV Shows,A movie about family set in South Korea.
s421,TV Show,Bright Heart 421,Mira Nair,,Egypt,"September 02, 2014",2015,TV-PG,7 Season,"Stand-Up Comedy, Anime Series, TV Comedies",A tv show about power set in Egypt.
s422,Movie,Velvet Kingdom 422,Martin Scorsese,"Lupita Nyong'o, Zendaya, Tilda Swinton",United Kingdom,"November 14, 2012",2021,G,76 min,"Comedies, Action & Adventure",A movie about identity set in United Kingdom.
s423,TV Show,Eternal Shadow 423,Greta Gerwig,"Zendaya, Tom Hardy",,"May 11, 2018",2014,TV-Y,4 Season,Children & Family Movies,A tv show about love set in an unnamed place.
s424,TV Show,Silent Whisper 424,Spike Lee,"Shah Rukh Khan, Lupita Nyong'o",Egypt,"April 05, 2014",2000,TV-MA,2 Season,Reality TV,A tv show about power set in Egypt.
s425,Movie,Midnight Hour 425,Park Chan-wook,"Mahershala Ali, Shah Rukh Khan, Song Kang-ho, Daniel Kaluuya, Tom Hardy",China,"January 26, 2009",1996,PG-13,158 min,Music & Musicals,A movie about love set in China.
s426,Movie,Broken Truth 426,,"Penelope Cruz, Viola Davis, Tom Hardy",United States,"April 23, 2012",1994,TV-14,87 min,"Romantic Movies, International Movies, Stand-Up Comedy",A movie about identity set in United States.
s427,Movie,Eternal Whisper 427,Bong Joon-ho,"Riz Ahmed, Viola Davis, Song Kang-ho, Daniel Kaluuya, Zendaya",Japan,,2010,,99 min,"Horror Movies, Comedies",A movie about power set in Japan.
s428,TV Show,Iron Code 428,Christopher Nolan,"Oscar Isaac, Florence Pugh, Daniel Kaluuya, Deepika Padukone, Viola Davis",Philippines,"February 15, 2010",2010,TV-Y,3 Season,"Crime TV Shows, British TV Shows, Comedies",A tv show about family set in Philippines.
s429,Movie,Bright Code 429,Pedro Almodovar,"Tom Hardy, Song Kang-ho, Daniel Kaluuya",Canada,"August 11, 2017",2005,TV-MA,80 min,"British TV Shows, Sci-Fi & Fantasy",A movie about crime set in Canada.
s430,Movie,Crimson Hour 430,,"Tilda Swinton, Shah Rukh Khan, Saoirse Ronan, Idris Elba, Daniel Kaluuya",India,"April 21, 2017",2008,R,129 min,"Horror Movies, Thrillers",A movie about identity set in India.
s431,Movie,Bright Hour 431,Park Chan-wook,"Florence Pugh, Lupita Nyong'o, Idris Elba",United States,"January 10, 2019",1994,TV-MA,81 min,Documentaries,A movie about love set in United States.
s432,Movie,Frozen Project 432,Bong Joon-ho,"Riz Ahmed, Mahershala Ali",Japan,"June 29, 2013",2017,R,122 min,"Independent Movies, Anime Series",A movie about power set in Japan.
s433,Movie,Dark Truth 433,Denis Villeneuve,"Daniel Kaluuya, Deepika Padukone, Penelope Cruz",Turkey,"October 23, 2018",1991,TV-Y,66 min,"Music & Musicals, Reality TV",A movie about crime set in Turkey.
s434,Movie,Silent Storm 434,Greta Gerwig,"Daniel Kaluuya, Viola Davis, Idris Elba, Shah Rukh Khan, Mahershala Ali",France,"February 04, 2008",1990,PG,170 min,"Stand-Up Comedy, TV Comedies",A movie about power set in France.
s435,Movie,Wild Storm 435,Mira Nair,,Canada,"September 07, 2020",2000,TV-Y,110 min,"TV Dramas, Korean TV Shows, British TV Shows",A movie about power set in Canada.
s436,Movie,Golden Empire 436,Hayao Miyazaki,"Daniel Kaluuya, Tom Hardy, Riz Ahmed",United States,"April 26, 2011",2006,TV-PG,110 min,Music & Musicals,A movie about identity set in United States.
s437,TV Show,Dark Promise 437,,"Florence Pugh, Mahershala Ali, Oscar Isaac, Viola Davis, Lupita Nyong'o",Turkey,"July 28, 2017",2006,G,9 Seasons,"Independent Movies, Sci-Fi & Fantasy",A tv show about power set in Turkey.
s438,Movie,Bright City 438,Christopher Nolan,"Saoirse Ronan, Daniel Kaluuya, Mahershala Ali, Song Kang-ho",Italy,"February 22, 2008",2000,TV-MA,69 min,Stand-Up Comedy,A movie about identity set in Italy.
s439,Movie,Hidden Memory 439,Anurag Kashyap,"Penelope Cruz, Deepika Padukone, Shah Rukh Khan",Canada,"October 07, 2012",2001,TV-PG,94 min,"Stand-Up Comedy, Anime Series",A movie about power set in Canada.
s440,TV Show,Midnight Project 440,Christopher Nolan,"Song Kang-ho, Saoirse Ronan, Viola Davis, Idris Elba, Tom Hardy",Argentina,"April 05, 2010",1990,TV-MA,1 Season,"Dramas, TV Comedies, Korean TV Shows",A tv show about family set in Argentina.
s441,TV Show,Wild Truth 441,Hayao Miyazaki,"Tilda Swinton, Riz Ahmed, Song Kang-ho, Idris Elba",Italy,"December 26, 2015",2011,TV-MA,8 Seasons,"Documentaries, Dramas",A tv show about identity set in Italy.
s442,Movie,Frozen Storm 442,Bong Joon-ho,"Riz Ahmed, Tilda Swinton, Song Kang-ho, Tom Hardy, Zendaya",Australia,,2013,PG,158 min,Music & Musicals,A movie about survival set in Australia.
s443,Movie,Velvet Truth 443,,"Song Kang-ho, Mahershala Ali, Penelope Cruz, Saoirse Ronan, Oscar Isaac",France,"October 28, 2020",1992,TV-14,122 min,"Reality TV, Anime Series, Romantic Movies",A movie about survival set in France.
s444,TV Show,Wild Hour 444,Bong Joon-ho,"Song Kang-ho, Penelope Cruz",United States,"April 28, 2015",2014,R,5 Seasons,"Action & Adventure, Documentaries, Reality TV",A tv show about power set in United States.
s445,TV Show,Midnight Truth 445,Bong Joon-ho,"Tilda Swinton, Penelope Cruz",Italy,"August 08, 2020",2017,R,5 Season,Action & Adventure,A tv show about love set in Italy.
s446,Movie,Velvet City 446,,"Saoirse Ronan, Riz Ahmed, Idris Elba, Penelope Cruz",United States,"March 26, 2021",2002,TV-Y,126 min,"Documentaries, Korean TV Shows",A movie about power set in United States.
s447,Movie,Crimson Kingdom 447,Pedro Almodovar,"Saoirse Ronan, Riz Ahmed, Daniel Kaluuya, Song Kang-ho",Egypt,"May 10, 2014",1999,TV-MA,198 min,"Sci-Fi & Fantasy, Korean TV Shows",A movie about power set in Egypt.
s448,Movie,Dark Memory 448,Park Chan-wook,"Oscar Isaac, Mahershala Ali, Penelope Cruz, Tom Hardy, Idris Elba",South Korea,"January 17, 2013",1993,TV-PG,169 min,"TV Comedies, Sci-Fi & Fantasy, Romantic Movies",A movie about love set in South Korea.
s449,Movie,Eternal Shadow 449,Denis Villeneuve,"Shah Rukh Khan, Lupita Nyong'o, Mahershala Ali, Saoirse Ronan, Florence Pugh",South Korea,"April 16, 2020",2015,PG,193 min,Sci-Fi & Fantasy,A movie about survival set in South Korea.
s450,Movie,Velvet Promise 450,Spike Lee,"Penelope Cruz, Song Kang-ho, Florence Pugh",United States,"November 28, 2020",1996,TV-PG,141 min,"Romantic Movies, International Movies",A movie about love set in United States.
s451,Movie,Wild Promise 451,Christopher Nolan,"Riz Ahmed, Shah Rukh Khan, Tilda Swinton, Mahershala Ali",India,"November 23, 2016",2021,NR,89 min,"TV Comedies, Comedies, Anime Series",A movie about power set in India.
s452,Movie,Iron Hour 452,Martin Scorsese,"Song Kang-ho, Deepika Padukone",Nigeria,"February 28, 2021",2020,TV-14,196 min,TV Comedies,A movie about survival set in Nigeria.
s453,TV Show,Golden Shadow 453,Anurag Kashyap,,,"January 21, 2020",2001,TV-MA,7 Seasons,"Korean TV Shows, British TV Shows, Comedies",A tv show about identity set in an unnamed place.
s454,TV Show,Frozen Memory 454,Park Chan-wook,"Song Kang-ho, Shah Rukh Khan, Riz Ahmed",Japan,,2018,TV-14,1 Season,Romantic Movies,A tv show about love set in Japan.
s455,Movie,Dark Truth 455,,"Mahershala Ali, Lupita Nyong'o, Shah Rukh Khan, Penelope Cruz",United States,"January 13, 2009",2008,TV-Y7,80 min,"British TV Shows, Crime TV Shows, Korean TV Shows",A movie about family set in United States.
s456,Movie,Frozen Garden 456,Park Chan-wook,"Viola Davis, Song Kang-ho, Shah Rukh Khan",South Korea,"July 03, 2021",2003,PG-13,77 min,"Music & Musicals, Stand-Up Comedy, Comedies",A movie about identity set in South Korea.
s457,Movie,Broken Hour 457,Hayao Miyazaki,"Riz Ahmed, Mahershala Ali, Shah Rukh Khan, Lupita Nyong'o",Germany,"April 27, 2012",2013,G,199 min,Stand-Up Comedy,A movie about crime set in Germany.
s458,Movie,Sacred Shadow 458,Mira Nair,"Song Kang-ho, Lupita Nyong'o, Viola Davis, Tilda Swinton",United Kingdom,"December 29, 2009",2013,PG-13,82 min,Children & Family Movies,A movie about love set in United Kingdom.
s459,Movie,Crimson Shadow 459,Christopher Nolan,"Daniel Kaluuya, Viola Davis, Lupita Nyong'o, Idris Elba",Mexico,"August 16, 2021",1996,TV-PG,126 min,"Romantic Movies, TV Dramas",A movie about power set in Mexico.
s460,Movie,Sacred Legacy 460,Hayao Miyazaki,"Lupita Nyong'o, Tom Hardy, Tilda Swinton",France,"March 14, 2011",2014,PG-13,58 min,"TV Dramas, Horror Movies, Stand-Up Comedy",A movie about power set in France.
s461,Movie,Wild Whisper 461,Pedro Almodovar,"Deepika Padukone, Saoirse Ronan, Tilda Swinton, Viola Davis, Zendaya",Australia,"October 13, 2009",1994,TV-14,87 min,"International Movies, Comedies, Sci-Fi & Fantasy",A movie about identity set in Australia.
